aX,aY,aZ,gX,gY,gZ
1.032,-0.128,-0.150,6.042,-2.441,1.587
1.024,-0.112,-0.144,6.836,-2.686,1.953
1.017,-0.118,-0.143,8.301,-2.563,1.404
1.010,-0.147,-0.142,8.301,-2.319,1.221
1.012,-0.152,-0.140,6.714,-1.831,1.709
1.011,-0.135,-0.133,5.737,-1.465,1.953
1.009,-0.124,-0.130,4.822,-0.427,1.526
1.005,-0.115,-0.129,4.761,0.183,0.977
1.003,-0.120,-0.132,4.639,1.221,0.122
1.013,-0.136,-0.138,4.211,1.587,0.122
1.017,-0.132,-0.139,3.540,1.770,0.305
1.018,-0.110,-0.139,2.441,2.136,0.061
1.020,-0.105,-0.138,2.563,2.319,-0.427
1.019,-0.107,-0.139,3.418,1.953,-1.526
1.020,-0.121,-0.144,3.540,1.770,-1.892
1.021,-0.128,-0.144,3.174,1.404,-1.526
1.017,-0.128,-0.142,2.869,1.343,-1.099

1.019,-0.196,-0.370,-194.946,0.671,21.912
1.023,-0.126,-0.366,-208.374,-1.038,21.118
0.990,-0.024,-0.356,-210.815,-1.648,17.700
0.975,-0.038,-0.353,-211.121,-1.343,12.207
0.999,-0.077,-0.353,-211.426,-0.793,12.695
1.012,-0.075,-0.358,-211.914,-0.793,16.724
1.008,-0.089,-0.359,-211.914,-1.892,17.822
0.994,-0.091,-0.347,-212.402,-4.517,17.395
0.974,-0.058,-0.312,-211.975,-4.272,17.212
0.972,-0.033,-0.298,-207.703,-1.404,17.944
0.963,-0.084,-0.289,-204.834,-0.061,17.822
0.988,-0.108,-0.282,-203.125,0.671,17.700
1.012,-0.082,-0.272,-201.721,0.671,17.639
1.016,0.022,-0.259,-198.669,1.282,16.846
1.014,0.042,-0.253,-186.340,1.770,13.550
1.016,0.047,-0.225,-178.833,0.916,11.658
1.028,0.068,-0.211,-162.292,0.549,8.911
1.051,0.176,-0.176,-151.794,0.793,8.118
1.042,0.239,-0.156,-123.413,1.282,3.296
0.997,0.273,-0.133,-105.835,1.831,-0.610
0.989,0.238,-0.131,-68.604,3.296,-2.747
1.011,0.161,-0.126,-51.208,4.089,-0.122
1.019,0.145,-0.122,-21.973,5.981,4.883
1.001,0.128,-0.125,-9.277,7.141,4.761
0.991,0.075,-0.136,2.563,8.362,3.418
0.995,-0.013,-0.150,19.897,9.277,2.930
1.031,-0.160,-0.165,23.376,8.850,5.066
1.039,-0.164,-0.161,21.545,8.240,9.033
1.019,-0.086,-0.147,19.836,8.545,8.057
1.007,-0.071,-0.147,20.203,8.850,1.709
1.011,-0.150,-0.163,20.813,8.362,-0.488
1.028,-0.194,-0.170,16.846,6.836,0.549
1.049,-0.184,-0.173,12.512,5.920,1.831
1.040,-0.148,-0.168,8.240,5.005,1.831
1.023,-0.119,-0.162,4.333,4.089,-1.587
1.014,-0.132,-0.162,4.272,4.272,-2.869
1.021,-0.153,-0.167,3.601,4.517,-1.770
1.039,-0.143,-0.166,2.563,3.845,-0.488
1.035,-0.119,-0.163,2.075,2.014,0.122
1.027,-0.125,-0.160,2.991,1.221,-0.427
1.019,-0.149,-0.159,3.906,-0.061,-0.061
1.011,-0.155,-0.153,3.235,-0.244,1.099
1.009,-0.131,-0.150,2.319,0.305,1.892
