aX,aY,aZ,gX,gY,gZ
0.994,-0.027,-0.266,-2.380,-0.061,0.000
0.987,-0.040,-0.265,-2.014,0.061,-0.305
0.988,-0.047,-0.264,-2.136,0.732,0.244
1.001,-0.037,-0.266,-2.441,0.916,0.671
1.003,-0.030,-0.268,-2.319,0.427,0.671
0.993,-0.034,-0.270,-1.953,0.244,0.610
0.991,-0.041,-0.270,-1.831,0.610,0.610
0.995,-0.039,-0.271,-2.136,0.854,0.793
1.002,-0.031,-0.273,-2.258,0.671,1.099
1.005,-0.022,-0.275,-1.770,0.183,1.160
1.000,-0.028,-0.274,-1.160,-0.122,1.221

1.024,0.250,-0.360,118.713,-9.583,-32.410
1.028,0.247,-0.374,147.522,-15.686,-38.635
0.999,0.141,-0.390,161.682,-18.799,-37.659
0.967,0.090,-0.394,182.556,-20.691,-31.006
0.959,0.122,-0.414,189.819,-19.470,-29.785
0.991,0.189,-0.437,206.909,-19.897,-36.316
1.018,0.230,-0.479,219.238,-23.376,-40.344
0.999,0.140,-0.480,242.432,-30.823,-40.527
0.917,-0.095,-0.457,247.314,-31.860,-36.682
0.892,-0.121,-0.450,242.493,-26.978,-27.649
0.979,-0.028,-0.457,238.525,-23.865,-25.757
1.023,-0.012,-0.460,236.999,-23.865,-25.940
0.960,-0.136,-0.428,235.596,-27.039,-25.757
0.926,-0.196,-0.404,230.408,-25.330,-23.743
0.915,-0.219,-0.383,209.106,-17.273,-20.264
0.932,-0.235,-0.343,195.862,-11.108,-22.156
0.939,-0.253,-0.325,166.992,-4.761,-24.170
0.933,-0.318,-0.291,150.879,-2.075,-23.376
0.939,-0.352,-0.280,114.441,5.310,-21.057
0.959,-0.392,-0.274,94.604,8.728,-19.653
0.960,-0.389,-0.274,54.260,14.282,-18.005
0.983,-0.346,-0.274,35.706,14.587,-18.738
0.972,-0.305,-0.277,5.249,13.306,-18.127
0.957,-0.141,-0.293,-6.042,15.686,-15.503
1.002,-0.026,-0.305,-16.357,19.104,-14.038
1.101,0.098,-0.315,-14.648,17.151,-16.479
1.086,0.073,-0.309,-3.906,7.263,-18.494
0.986,-0.029,-0.285,0.793,4.456,-15.320
0.975,-0.046,-0.289,3.662,6.409,-6.836
1.029,0.002,-0.308,3.845,6.775,-5.066
1.041,0.002,-0.302,4.822,5.249,-5.432
1.022,-0.038,-0.291,6.104,1.465,-6.714
0.969,-0.107,-0.276,4.089,1.648,-5.188
0.975,-0.082,-0.279,-2.319,3.540,-1.587
1.016,-0.006,-0.286,-3.906,3.113,-2.258
1.012,-0.011,-0.280,-3.662,0.366,-5.127
0.983,-0.052,-0.264,-4.089,-0.061,-4.822
0.983,-0.037,-0.262,-6.287,0.671,-1.587
0.992,0.016,-0.261,-6.104,0.732,-0.977
0.990,0.018,-0.260,-3.174,0.977,-2.075
0.996,-0.002,-0.270,-2.014,1.343,-2.075
1.006,0.008,-0.274,-0.732,0.977,-1.221
1.019,0.018,-0.275,0.427,0.244,-1.526
1.009,-0.010,-0.271,2.380,-0.793,-1.953
0.986,-0.068,-0.266,1.831,-0.488,-0.854
0.985,-0.065,-0.268,0.244,0.061,0.732
0.994,-0.024,-0.267,-2.991,0.427,2.014
0.992,-0.020,-0.264,-3.601,0.366,1.282
0.989,-0.028,-0.263,-4.028,0.732,0.305
0.992,-0.017,-0.266,-4.395,0.916,0.671
1.001,0.002,-0.266,-4.089,0.732,0.366
1.006,0.005,-0.260,-3.113,0.427,-0.366
1.000,-0.017,-0.257,-1.709,0.366,-0.671
0.991,-0.048,-0.259,-2.197,0.732,0.366
0.997,-0.039,-0.264,-4.456,1.221,2.136
1.011,-0.002,-0.269,-4.944,0.916,2.014
1.009,0.001,-0.267,-3.967,-0.061,0.916
1.000,-0.030,-0.261,-3.601,-0.305,0.793
0.997,-0.036,-0.260,-4.333,-0.488,1.709
1.004,-0.004,-0.263,-4.639,-0.610,2.014
1.010,0.013,-0.261,-4.272,-0.916,1.770
1.010,0.013,-0.258,-2.197,-1.770,0.610
0.993,-0.020,-0.252,-1.709,-1.831,0.427
0.985,-0.029,-0.250,-2.808,-0.854,1.282
0.983,-0.008,-0.253,-3.479,-0.244,1.709
0.984,0.008,-0.254,-2.930,0.732,1.648
0.992,0.013,-0.259,-2.136,1.282,1.221
0.999,0.001,-0.261,-1.282,1.831,0.305
1.000,-0.018,-0.261,-1.587,1.709,0.000
0.999,-0.020,-0.262,-2.441,1.221,0.183
0.998,-0.017,-0.265,-2.686,1.099,0.549
0.998,-0.007,-0.267,-2.930,1.099,0.854
0.999,0.017,-0.268,-2.502,1.099,0.549
1.004,0.013,-0.268,-1.831,1.160,-0.122
1.000,-0.020,-0.267,-0.854,0.916,-0.793
0.994,-0.024,-0.267,-1.038,0.854,-0.488
0.990,-0.015,-0.270,-1.770,1.343,0.183
1.002,0.005,-0.272,-1.648,1.465,0.061
1.012,-0.003,-0.272,-0.732,0.854,-0.244
